rank_priority,protocol_slug,protocol_name,defillama_url,category,chains,value_at_risk_usd,band_status,family_id,PRIORITY,LIKELIHOOD,ACTIONABILITY,family_evidence,learned_attack_surface,MATCH_SCORE,EVIDENCE_CONFIDENCE,evidence_level,repeat_victim_count,prior_hack_dates,surface_signals,conditions,preconditions_present,guards_found,prior_art_status,in_final
1,fuji-v1,Fuji V1,https://defillama.com/protocol/fuji-v1,Lending,Ethereum|Arbitrum|Polygon|Fantom|Optimism,197607.06,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,65.62,65.62,100.0,37.5,28.12,75.0,90.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_2plus_audits|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|version_sibling_legacy|pricing_surface_undeclared,VERSION_SIBLING_LEGACY,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,upgrade_timelocked,PRIOR_ART_SEARCH_INCOMPLETE,YES
2,hundred-finance,Hundred Finance,https://defillama.com/protocol/hundred-finance,Lending,Arbitrum|Fantom|Polygon|xDai|Harmony|Optimism,73585.16,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,61.18,61.18,100.0,31.9,29.28,63.8,85.4,L4_GUARD_REVIEW,2,2022-03-15|2023-04-15,has_governance|owner_is_contract|is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|single_audit_only,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,YES
3,sperax-usd,Sperax USD,https://defillama.com/protocol/sperax-usd,Yield Aggregator,Arbitrum|Ethereum,520188.67,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,61.08,61.08,100.0,36.9,24.18,73.8,90.4,L4_GUARD_REVIEW,0,2023-02-04,owner_is_contract|is_proxy|has_oracle_declared|has_2plus_audits|on_ethereum|chain_hazard_ge2|authority_addrs_beyond_tvl,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,YES
4,cook-finance,Cook Finance,https://defillama.com/protocol/cook-finance,Indexes,Heco|Ethereum|Binance|Avalanche,51766.57,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,60.13,60.13,100.0,37.5,22.63,75.0,90.4,L4_GUARD_REVIEW,0,,is_proxy|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,upgrade_timelocked,PRIOR_ART_SEARCH_INCOMPLETE,YES
5,fuji-v1,Fuji V1,https://defillama.com/protocol/fuji-v1,Lending,Ethereum|Arbitrum|Polygon|Fantom|Optimism,197607.06,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,60.02,60.02,100.0,31.9,28.12,63.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_2plus_audits|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|version_sibling_legacy|pricing_surface_undeclared,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
6,fuji-v1,Fuji V1,https://defillama.com/protocol/fuji-v1,Lending,Ethereum|Arbitrum|Polygon|Fantom|Optimism,197607.06,IN_BAND,ACC-DUPLICATE-ID-ACCUMULATION,60.02,60.02,100.0,31.9,28.12,63.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_2plus_audits|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|version_sibling_legacy|pricing_surface_undeclared,,src::id_array_loop_without_dedup|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
7,radiant-v2,Radiant V2,https://defillama.com/protocol/radiant-v2,Lending,Ethereum|Base|Arbitrum|Binance,693777.81,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,59.7,59.7,100.0,36.9,22.8,73.8,90.4,L4_GUARD_REVIEW,2,2024-01-02,is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,YES
8,radiant-v2,Radiant V2,https://defillama.com/protocol/radiant-v2,Lending,Ethereum|Base|Arbitrum|Binance,693777.81,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,59.7,59.7,100.0,36.9,22.8,73.8,85.4,L4_GUARD_REVIEW,2,2024-01-02,is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,NO
9,radiant-v2,Radiant V2,https://defillama.com/protocol/radiant-v2,Lending,Ethereum|Base|Arbitrum|Binance,693777.81,IN_BAND,SIG-VERIFIER-DEFEATABLE,59.7,59.7,100.0,36.9,22.8,73.8,90.4,L4_GUARD_REVIEW,2,2024-01-02,is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::ecrecover_without_zero_check|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,NO
10,revest-finance,Revest Finance,https://defillama.com/protocol/revest-finance,NFT Lending,Ethereum|Avalanche|Arbitrum|Polygon|Optimism|Fantom,107916.24,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,59.45,59.45,100.0,36.9,22.55,73.8,85.4,L4_GUARD_REVIEW,0,2022-03-27,owner_is_contract|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|authority_addrs_beyond_tvl|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,YES
11,iron-bank,Iron Bank,https://defillama.com/protocol/iron-bank,Lending,Ethereum|Optimism|Avalanche|Fantom,216657.44,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,59.18,59.18,100.0,30.0,29.18,60,90.4,L4_GUARD_REVIEW,0,,has_governance|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,upgrade_timelocked,PRIOR_ART_SEARCH_INCOMPLETE,YES
12,iron-bank,Iron Bank,https://defillama.com/protocol/iron-bank,Lending,Ethereum|Optimism|Avalanche|Fantom,216657.44,IN_BAND,ACC-DONATION-UNACCOUNTED-BALANCE,59.18,59.18,100.0,30.0,29.18,60,90.4,L4_GUARD_REVIEW,0,,has_governance|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::getCashPrior_balanceOf|unprivileged_inbound_transfer_possible|live_value_exposed,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
13,iron-bank,Iron Bank,https://defillama.com/protocol/iron-bank,Lending,Ethereum|Optimism|Avalanche|Fantom,216657.44,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,59.18,59.18,100.0,30.0,29.18,60,85.4,L4_GUARD_REVIEW,0,,has_governance|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
14,iron-bank,Iron Bank,https://defillama.com/protocol/iron-bank,Lending,Ethereum|Optimism|Avalanche|Fantom,216657.44,IN_BAND,ACC-CREDIT-NOT-RECEIVED,59.18,59.18,100.0,30.0,29.18,60,85.4,L4_GUARD_REVIEW,0,,has_governance|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::balance_delta_credit|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
15,cytonic-airdrop-campaign,Cytonic Airdrop Campaign,https://defillama.com/protocol/cytonic-airdrop-campaign,Farm,Arbitrum|Base|Ethereum|Solana|Binance|Optimism,169481.88,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,59.0,59.0,100.0,36.9,22.1,73.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_2plus_audits|multichain_gt3|age_1_3y|on_ethereum|chain_hazard_ge2|on_bsc,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
16,smardex-amm,SMARDEX AMM,https://defillama.com/protocol/smardex-amm,Dexs,Ethereum|Arbitrum|Binance|Base|Polygon,153633.1,IN_BAND,ACC-QUOTE-STALE-ACROSS-OWN-SWAP,58.88,58.88,100.0,36.9,21.98,73.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::quote_then_own_swap|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
17,radioshack,RadioShack,https://defillama.com/protocol/radioshack,Dexs,Binance|Avalanche|Polygon|Ethereum|Cronos|Dogechain,453693.1,IN_BAND,ACC-QUOTE-STALE-ACROSS-OWN-SWAP,58.88,58.88,100.0,36.9,21.98,73.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::quote_then_own_swap|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
18,gravita-protocol,Gravita Protocol,https://defillama.com/protocol/gravita-protocol,CDP,Ethereum|Optimism|Arbitrum|Polygon zkEVM|Mantle|zkSync Era,395368.47,IN_BAND,ORACLE-VAULT-SHARE-RATE-AS-SPOT-PRICE,58.67,58.67,100.0,30.0,28.67,60,90.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::rate_used_as_price|value_decision_reads_configured_feed|live_positions_exposed,,PRIOR_ART_SEARCH_INCOMPLETE,YES
19,gravita-protocol,Gravita Protocol,https://defillama.com/protocol/gravita-protocol,CDP,Ethereum|Optimism|Arbitrum|Polygon zkEVM|Mantle|zkSync Era,395368.47,IN_BAND,ACC-DONATION-UNACCOUNTED-BALANCE,58.67,58.67,100.0,30.0,28.67,60,90.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::totalAssets_reads_balanceOf|unprivileged_inbound_transfer_possible|live_value_exposed,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
20,gravita-protocol,Gravita Protocol,https://defillama.com/protocol/gravita-protocol,CDP,Ethereum|Optimism|Arbitrum|Polygon zkEVM|Mantle|zkSync Era,395368.47,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,58.67,58.67,100.0,30.0,28.67,60,90.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
21,gravita-protocol,Gravita Protocol,https://defillama.com/protocol/gravita-protocol,CDP,Ethereum|Optimism|Arbitrum|Polygon zkEVM|Mantle|zkSync Era,395368.47,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,58.67,58.67,100.0,30.0,28.67,60,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
22,bridge-mutual,Bridge Mutual,https://defillama.com/protocol/bridge-mutual,Insurance,Ethereum|Binance|Polygon,56267.07,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,58.05,58.05,100.0,36.9,21.15,73.8,85.4,L4_GUARD_REVIEW,0,,is_proxy|has_2plus_audits|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
23,tetu-earn,Tetu Earn,https://defillama.com/protocol/tetu-earn,Yield,Polygon|Binance|Base|Ethereum|Fantom,482133.87,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,58.03,58.03,100.0,36.9,21.13,73.8,85.4,L4_GUARD_REVIEW,0,,is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
24,vaultcraft,VaultCraft,https://defillama.com/protocol/vaultcraft,Yield,Arbitrum|Ethereum|Polygon|Optimism|Base|Hemi,557156.94,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,57.73,57.73,100.0,36.9,20.83,73.8,90.4,L4_GUARD_REVIEW,0,,has_governance|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|single_audit_only,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
25,wepiggy,WePiggy,https://defillama.com/protocol/wepiggy,Lending,Ethereum|Arbitrum|Optimism|Binance|Polygon|Aurora,802765.01,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,57.47,57.47,100.0,30.0,27.47,60,90.4,L4_GUARD_REVIEW,0,,is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,upgrade_timelocked,PRIOR_ART_SEARCH_INCOMPLETE,YES
26,wepiggy,WePiggy,https://defillama.com/protocol/wepiggy,Lending,Ethereum|Arbitrum|Optimism|Binance|Polygon|Aurora,802765.01,IN_BAND,ACC-DONATION-UNACCOUNTED-BALANCE,57.47,57.47,100.0,30.0,27.47,60,90.4,L4_GUARD_REVIEW,0,,is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::getCashPrior_balanceOf|unprivileged_inbound_transfer_possible|live_value_exposed,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
27,wepiggy,WePiggy,https://defillama.com/protocol/wepiggy,Lending,Ethereum|Arbitrum|Optimism|Binance|Polygon|Aurora,802765.01,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,57.47,57.47,100.0,30.0,27.47,60,85.4,L4_GUARD_REVIEW,0,,is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
28,wepiggy,WePiggy,https://defillama.com/protocol/wepiggy,Lending,Ethereum|Arbitrum|Optimism|Binance|Polygon|Aurora,802765.01,IN_BAND,ACC-CREDIT-NOT-RECEIVED,57.47,57.47,100.0,30.0,27.47,60,85.4,L4_GUARD_REVIEW,0,,is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::balance_delta_credit|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,NO
29,likwid,Likwid,https://defillama.com/protocol/likwid,Derivatives,Base|Binance|Ethereum,62647.93,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,57.4,57.4,100.0,31.9,25.5,63.8,85.4,L4_GUARD_REVIEW,0,,owner_is_contract|age_under_1y|has_2plus_audits|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|pricing_surface_undeclared,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
30,arcade.xyz,Arcade.xyz,https://defillama.com/protocol/arcade.xyz,NFT Lending,Ethereum,210560.6,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,57.25,57.25,100.0,42.5,14.75,85.0,90.4,L4_GUARD_REVIEW,0,,is_proxy|on_ethereum|chain_hazard_ge2|authority_addrs_beyond_tvl|single_audit_only|single_chain,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,,PRIOR_ART_SEARCH_INCOMPLETE,YES
31,kyberswap-elastic,KyberSwap Elastic,https://defillama.com/protocol/kyberswap-elastic,Dexs,Linea|Scroll|Arbitrum|Optimism|Polygon|Ethereum,127718.88,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,57.23,57.23,100.0,36.9,20.33,73.8,85.4,L4_GUARD_REVIEW,0,2023-11-22,is_proxy|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,YES
32,kyberswap-elastic,KyberSwap Elastic,https://defillama.com/protocol/kyberswap-elastic,Dexs,Linea|Scroll|Arbitrum|Optimism|Polygon|Ethereum,127718.88,IN_BAND,SIG-VERIFIER-DEFEATABLE,57.23,57.23,100.0,36.9,20.33,73.8,90.4,L4_GUARD_REVIEW,0,2023-11-22,is_proxy|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::ecrecover_without_zero_check|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
33,openleverage,OpenLeverage,https://defillama.com/protocol/openleverage,Dexs,Binance|Ethereum|Kucoin|Arbitrum,99822.69,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,57.17,57.17,100.0,30.0,27.17,60,90.4,L4_GUARD_REVIEW,0,2024-04-01,has_governance|is_proxy|has_2plus_audits|unverified_implementation|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,YES
34,openleverage,OpenLeverage,https://defillama.com/protocol/openleverage,Dexs,Binance|Ethereum|Kucoin|Arbitrum,99822.69,IN_BAND,CALLBACK-UNAUTHENTICATED-CALLER-USES-APPROVALS,57.17,57.17,100.0,30.0,27.17,60,90.4,L4_GUARD_REVIEW,0,2024-04-01,has_governance|is_proxy|has_2plus_audits|unverified_implementation|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc,,src::transferFrom_param_payer|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
35,openleverage,OpenLeverage,https://defillama.com/protocol/openleverage,Dexs,Binance|Ethereum|Kucoin|Arbitrum,99822.69,IN_BAND,AUTH-ZERO-ADDRESS-ACCEPTED,57.17,57.17,100.0,30.0,27.17,60,85.4,L4_GUARD_REVIEW,0,2024-04-01,has_governance|is_proxy|has_2plus_audits|unverified_implementation|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc,,src::owner_compare_without_nonzero|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
36,openleverage,OpenLeverage,https://defillama.com/protocol/openleverage,Dexs,Binance|Ethereum|Kucoin|Arbitrum,99822.69,IN_BAND,ACC-CREDIT-NOT-RECEIVED,57.17,57.17,100.0,30.0,27.17,60,85.4,L4_GUARD_REVIEW,0,2024-04-01,has_governance|is_proxy|has_2plus_audits|unverified_implementation|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc,,src::balance_delta_credit|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
37,openleverage,OpenLeverage,https://defillama.com/protocol/openleverage,Dexs,Binance|Ethereum|Kucoin|Arbitrum,99822.69,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,57.17,57.17,100.0,30.0,27.17,60,85.4,L4_GUARD_REVIEW,0,2024-04-01,has_governance|is_proxy|has_2plus_audits|unverified_implementation|multichain_gt3|on_ethereum|chain_hazard_ge2|on_bsc,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,KNOWN_ISSUE_DEPLOYMENT_STATUS_UNKNOWN,NO
38,zunami-protocol,Zunami Protocol,https://defillama.com/protocol/zunami-protocol,Yield Aggregator,Ethereum,548288.98,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,56.93,56.93,100.0,36.9,20.03,73.8,85.4,L4_GUARD_REVIEW,2,2023-08-13,has_governance|is_proxy|on_ethereum|chain_hazard_ge2|authority_addrs_beyond_tvl|single_audit_only|single_chain,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,UNREMEDIATED_KNOWN_ISSUE,YES
39,tarot,Tarot,https://defillama.com/protocol/tarot,Lending,Base|Optimism|Fantom|Binance|Linea|Avalanche,583968.6,IN_BAND,ORACLE-SPOT-THIN-LIQUIDITY,55.77,55.77,100.0,36.9,18.87,73.8,90.4,L4_GUARD_REVIEW,0,,has_governance|multichain_gt3|no_audit_listed|on_ethereum|chain_hazard_ge2|on_bsc|pricing_surface_undeclared,PRICING_SURFACE_UNDECLARED,src::spot_without_twap|value_decision_reads_configured_feed|live_positions_exposed,,PRIOR_ART_SEARCH_INCOMPLETE,YES
40,ezmoney,EZMoney,https://defillama.com/protocol/ezmoney,Liquidity Manager,Base|Hyperliquid L1|Robinhood Chain|Binance|Arbitrum,64000.26,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,55.77,55.77,100.0,36.9,18.87,73.8,90.4,L4_GUARD_REVIEW,0,,owner_is_contract|age_under_1y|multichain_gt3|on_bsc|single_audit_only,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
41,pell-network,Pell Network,https://defillama.com/protocol/pell-network,Restaking,Bitlayer|BOB|Binance|CORE|BSquared|Merlin,224044.25,IN_BAND,ACC-SIGN-OR-BOUND-CHECK-MISSING,55.7,55.7,100.0,36.9,18.8,73.8,90.4,L4_GUARD_REVIEW,0,,is_proxy|multichain_gt3|owner_is_eoa|age_1_3y|on_ethereum|chain_hazard_ge2|on_bsc|single_audit_only,,src::unsafe_cross_sign_cast|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
42,hundred-finance,Hundred Finance,https://defillama.com/protocol/hundred-finance,Lending,Arbitrum|Fantom|Polygon|xDai|Harmony|Optimism,73585.16,IN_BAND,UPGRADE-OLD-DEPLOYMENT-LIVE-AUTHORITY,55.68,55.68,100.0,26.4,29.28,60,77.0,L3_STATE,2,2022-03-15|2023-04-15,has_governance|owner_is_contract|is_proxy|has_oracle_declared|multichain_gt3|on_ethereum|chain_hazard_ge2|single_audit_only,DEAD_FRONTEND_FUNDED|MULTICHAIN_VERSION_DRIFT,unmaintained_or_differing_code_path|prior_version_still_callable|still_holds_value_or_authority,,UNREMEDIATED_KNOWN_ISSUE,NO
43,iron-bank,Iron Bank,https://defillama.com/protocol/iron-bank,Lending,Ethereum|Optimism|Avalanche|Fantom,216657.44,IN_BAND,UPGRADE-OLD-DEPLOYMENT-LIVE-AUTHORITY,55.58,55.58,100.0,26.4,29.18,60,77.0,L3_STATE,0,,has_governance|is_proxy|has_oracle_declared|unverified_implementation|multichain_gt3|owner_is_eoa|on_ethereum|chain_hazard_ge2|single_audit_only,DEAD_FRONTEND_FUNDED,unmaintained_or_differing_code_path|prior_version_still_callable|still_holds_value_or_authority,,PRIOR_ART_SEARCH_INCOMPLETE,NO
44,xwin-finance,xWin Finance,https://defillama.com/protocol/xwin-finance,Indexes,Binance|Polygon|Arbitrum,205238.02,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,55.57,55.57,100.0,36.9,18.67,73.8,85.4,L4_GUARD_REVIEW,0,,is_proxy|has_oracle_declared|owner_is_eoa|on_bsc|authority_addrs_beyond_tvl|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
45,singularitydao,SingularityDAO,https://defillama.com/protocol/singularitydao,Yield,Ethereum|Binance,436691.29,IN_BAND,UPGRADE-OLD-DEPLOYMENT-LIVE-AUTHORITY,55.3,55.3,100.0,26.4,28.9,60,77.0,L3_STATE,0,,has_governance|is_proxy|has_oracle_declared|has_2plus_audits|owner_is_eoa|on_ethereum|chain_hazard_ge2|on_bsc|authority_addrs_beyond_tvl,,prior_version_still_callable|still_holds_value_or_authority,,PRIOR_ART_SEARCH_INCOMPLETE,YES
46,aavegotchi,Aavegotchi,https://defillama.com/protocol/aavegotchi,Gaming,Polygon|Ethereum,207363.39,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,55.18,55.18,100.0,36.9,18.28,73.8,85.4,L4_GUARD_REVIEW,0,,has_governance|on_ethereum|chain_hazard_ge2|authority_addrs_beyond_tvl|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
47,kokonut-swap,Kokonut Swap,https://defillama.com/protocol/kokonut-swap,Dexs,Klaytn|Base|Polygon zkEVM,610365.1,IN_BAND,UPGRADE-INITIALIZER-REACHABLE-LIVE,55.15,55.15,100.0,42.5,12.65,85.0,90.4,L4_GUARD_REVIEW,0,,is_proxy|owner_is_eoa|single_audit_only,,src::initialize_without_modifier|upgradeable_architecture|initializer_flag_unset|live_value_or_approvals,,PRIOR_ART_SEARCH_INCOMPLETE,YES
48,loop,Loop,https://defillama.com/protocol/loop,Leveraged Farming,XDC|Ethereum|Binance|Scroll,76961.88,IN_BAND,AUTH-PUBLIC-CLAIM-NO-ELIGIBILITY,55.12,55.12,100.0,36.9,18.22,73.8,85.4,L4_GUARD_REVIEW,0,,is_proxy|multichain_gt3|age_1_3y|on_ethereum|chain_hazard_ge2|on_bsc|pricing_surface_undeclared|single_audit_only,,src::claim_without_eligibility_map|live_value_present|deployment_reachable_on_chain,,PRIOR_ART_SEARCH_INCOMPLETE,YES
